MTU, Time, Power, Cost, Voltage
MTU1,05/11/2015 19:57:14,4.174,0.63,122.3
MTU1,05/11/2015 19:57:13,4.178,0.63,122.4
MTU1,05/11/2015 19:57:12,4.192,0.63,122.5
MTU1,05/11/2015 19:57:11,4.192,0.63,122.5
MTU1,05/11/2015 19:57:19,4.192,0.63,122.5
MTU1,05/11/2015 19:57:11,4.182,0.63,122.5
MTU1,05/11/2015 19:57:10,4.169,0.63,122.4
MTU1,05/11/2015 19:57:09,4.173,0.63,122.3
MTU1,05/11/2015 19:57:08,4.188,0.63,122.4
MTU1,05/11/2015 19:57:07,4.184,0.63,122.5
MTU1,05/11/2015 19:57:06,4.172,0.63,122.4
MTU1,05/11/2015 19:57:05,4.170,0.63,122.3
MTU1,05/11/2015 19:57:04,4.178,0.63,122.4
MTU1,05/11/2015 19:57:03,4.185,0.63,122.5
MTU1,05/11/2015 19:57:02,4.176,0.63,122.5
MTU1,05/11/2015 19:57:01,4.167,0.63,122.4
MTU1,05/11/2015 19:57:00,4.168,0.63,122.3
MTU1,05/11/2015 19:56:59,4.180,0.63,122.5
MTU1,05/11/2015 19:56:58,4.181,0.63,122.6
MTU1,05/11/2015 19:56:57,4.181,0.63,122.6
MTU1,05/11/2015 19:56:56,4.165,0.63,122.3
MTU1,05/11/2015 19:56:57,4.165,0.63,122.3
MTU1,05/11/2015 19:56:56,4.165,0.63,122.3
MTU1,05/11/2015 19:56:55,4.175,0.63,122.4
MTU1,05/11/2015 19:56:54,4.184,0.63,122.6
MTU1,05/11/2015 19:56:53,4.173,0.63,122.5
MTU1,05/11/2015 19:56:52,4.164,0.63,122.4
MTU1,05/11/2015 19:56:51,4.172,0.63,122.5
MTU1,05/11/2015 19:56:50,4.183,0.63,122.6
MTU1,05/11/2015 19:56:49,4.176,0.63,122.6
MTU1,05/11/2015 19:56:48,4.161,0.63,122.4
MTU1,05/11/2015 19:56:47,4.164,0.63,122.4
MTU1,05/11/2015 19:56:46,4.179,0.63,122.5
MTU1,05/11/2015 19:56:45,4.177,0.63,122.6
MTU1,05/11/2015 19:56:44,4.165,0.63,122.5
MTU1,05/11/2015 19:56:43,4.160,0.63,122.4
MTU1,05/11/2015 19:56:42,4.180,0.63,122.5
MTU1,05/11/2015 19:56:41,4.180,0.63,122.5
MTU1,05/11/2015 19:56:40,4.180,0.63,122.5
MTU1,05/11/2015 19:56:39,4.160,0.63,122.4
MTU1,05/11/2015 19:56:43,4.160,0.63,122.4
MTU1,05/11/2015 19:56:39,4.160,0.63,122.4
MTU1,05/11/2015 19:56:38,4.165,0.63,122.3
MTU1,05/11/2015 19:56:37,4.174,0.63,122.4
MTU1,05/11/2015 19:56:36,4.177,0.63,122.5
